,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,
2019-01-02,154.89,158.85,154.23,157.92,37039737,99.55,101.75,98.94,101.12,35329345
2019-01-03,143.98,145.72,142.0,142.19,91312195,100.1,100.18,97.2,97.4,42578410
2019-01-04,144.53,148.54,143.8,148.26,58607070,99.72,102.51,98.93,101.93,44060620
2019-01-07,148.7,148.83,145.9,147.93,54777764,101.64,103.26,100.98,102.06,35656136
2019-01-08,149.56,151.82,148.52,150.75,41025314,103.04,103.97,101.71,102.8,31514415
2019-01-09,151.29,154.53,149.63,153.31,45099081,103.86,104.88,103.24,104.27,32280840
2019-01-10,152.5,153.97,150.86,153.8,35780670,103.22,103.75,102.38,103.6,30067556
2019-01-11,152.88,153.7,151.51,152.29,27023241,103.19,103.44,101.64,102.8,28314202
2019-01-14,150.85,151.27,149.22,150.0,32439186,101.9,102.87,101.26,102.05,28437079
2019-01-15,150.27,153.39,150.05,153.07,28710324,102.51,105.05,101.88,105.01,31587616
2019-01-16,153.08,155.88,153.0,154.94,30569706,105.26,106.25,104.96,105.38,29853865
2019-01-17,154.2,157.66,153.26,155.86,29821160,105.0,106.62,104.76,106.12,28393015
2019-01-18,157.5,157.88,155.98,156.82,33751023,107.46,107.9,105.91,107.71,37427587
2019-01-22,156.41,156.73,152.62,153.3,30393970,106.75,107.1,104.86,105.68,32371253
2019-01-23,154.15,155.14,151.7,153.92,23130570,106.12,107.04,105.34,106.71,25874294
2019-01-24,154.11,154.48,151.74,152.7,25441549,106.86,107.0,105.34,106.2,23164838
2019-01-25,155.48,158.13,154.32,157.76,33547893,107.24,107.88,106.59,107.17,31218193
2019-01-28,155.79,156.33,153.66,156.3,26192058,106.26,106.48,104.66,105.08,29476719
2019-01-29,156.25,158.13,154.11,154.68,41587239,104.88,104.97,102.17,102.94,31490547
2019-01-30,163.25,166.15,160.23,165.25,61109780,104.62,106.38,104.33,106.38,49471866
2019-01-31,166.11,169.0,164.56,166.44,40739649,103.8,105.22,103.18,104.43,55636391
2019-02-01,166.96,168.98,165.93,166.52,32668138,103.77,104.09,102.35,102.78,35535690
2019-02-04,167.41,171.65,167.28,171.25,31495582,102.87,105.8,102.77,105.74,31315282
2019-02-05,172.86,175.08,172.35,174.18,36101628,106.06,107.27,105.96,107.22,27325365
2019-02-06,174.65,175.57,172.85,174.24,28239591,107.0,107.0,105.53,106.03,20609759
2019-02-07,172.4,173.94,170.34,170.94,31741690,105.18,105.59,104.29,105.27,29760697
2019-02-08,168.99,170.66,168.42,170.41,23819966,104.39,105.78,104.26,105.67,21461093
2019-02-11,171.05,171.21,169.25,169.43,20993425,106.2,106.58,104.96,105.25,18914123
2019-02-12,170.1,171.0,169.7,170.89,22283523,106.14,107.14,105.48,106.89,25056595
2019-02-13,171.39,172.48,169.92,170.18,22490233,107.5,107.78,106.71,106.81,18394869
2019-02-14,169.71,171.26,169.38,170.8,21835747,106.31,107.29,105.66,106.9,21784703
2019-02-15,171.25,171.7,169.75,170.42,24626814,107.91,108.3,107.36,108.22,26606886
2019-02-19,169.71,171.44,169.49,170.93,18972826,107.79,108.66,107.78,108.17,18038460
2019-02-20,171.19,173.32,170.99,172.03,26114362,107.86,107.94,106.29,107.15,21607671
2019-02-21,171.8,172.37,170.3,171.06,17249670,106.9,109.48,106.87,109.41,29063231
2019-02-22,171.58,173.0,171.38,172.97,18913154,110.05,111.2,109.82,110.97,27763218
2019-02-25,174.16,175.87,173.95,174.23,21873358,111.76,112.18,111.26,111.59,23750599
2019-02-26,173.71,175.3,173.17,174.33,17070211,111.26,113.24,111.17,112.36,21536733
2019-02-27,173.21,175.0,172.73,174.87,27835389,111.69,112.36,110.88,112.17,21487062
2019-02-28,174.32,174.91,172.92,173.15,28215416,112.04,112.88,111.73,112.03,29083934
2019-03-01,174.28,175.15,172.89,174.97,25886167,112.89,113.02,111.66,112.53,23501169
2019-03-04,175.69,177.75,173.97,175.85,27436203,113.02,113.25,110.8,112.26,26608014
2019-03-05,175.94,176.0,174.54,175.53,19737419,112.25,112.39,111.23,111.7,19538318
2019-03-06,174.67,175.49,173.94,174.52,20810384,111.87,112.66,111.43,111.75,17686996
2019-03-07,173.87,174.44,172.02,172.5,24796374,111.4,111.55,109.86,110.39,25338954
2019-03-08,170.32,173.07,169.5,172.91,23999358,109.16,110.71,108.8,110.51,22818430
2019-03-11,175.49,179.12,175.35,178.9,32011034,110.99,112.95,110.98,112.83,26491618
2019-03-12,180.0,182.67,179.37,180.91,32467584,112.82,113.99,112.64,113.62,26132717
2019-03-13,182.25,183.3,180.92,181.71,31032524,114.13,115.0,113.78,114.5,35513771
2019-03-14,183.9,184.1,182.56,183.73,23579508,114.54,115.2,114.33,114.59,30763367
2019-03-15,184.85,187.33,183.74,186.12,39042912,115.34,117.25,114.59,115.91,54630661
2019-03-18,185.8,188.39,185.79,188.02,26219832,116.17,117.61,116.05,117.57,31207596
2019-03-19,188.35,188.99,185.92,186.53,31646369,118.09,118.44,116.99,117.65,37588697
2019-03-20,186.23,189.49,184.73,188.16,31035231,117.39,118.75,116.71,117.52,28113343
2019-03-21,190.02,196.33,189.81,195.09,51034237,117.13,120.82,117.09,120.22,29854446
2019-03-22,195.34,197.69,190.78,191.05,42407666,119.5,119.59,117.04,117.05,33624528
2019-03-25,191.51,191.98,186.6,188.74,43845293,116.56,118.01,116.32,117.66,27067117
2019-03-26,191.66,192.88,184.58,186.79,49800538,118.62,118.7,116.85,117.91,26097665
2019-03-27,188.75,189.76,186.55,188.47,29848427,117.87,118.21,115.52,116.77,22733427
2019-03-28,188.95,189.55,187.53,188.72,20780363,117.44,117.58,116.13,116.93,18334755
2019-03-29,189.83,190.08,188.54,189.95,23563961,118.07,118.32,116.96,117.94,25399752
2019-04-01,191.64,191.68,188.38,191.24,27861964,118.95,119.1,118.1,119.02,22789103
2019-04-02,191.09,194.46,191.05,194.02,22765732,119.06,119.48,118.52,119.19,18142297
2019-04-03,193.25,196.5,193.15,195.35,23271830,119.86,120.43,119.15,119.97,22860744
2019-04-04,194.79,196.37,193.14,195.69,19114275,120.1,120.23,118.38,119.36,20112848
2019-04-05,196.45,197.1,195.93,197.0,18526644,119.39,120.23,119.37,119.89,15826245
2019-04-08,196.42,200.23,196.34,200.1,25881697,119.81,120.02,118.64,119.93,15116186
2019-04-09,200.32,202.85,199.23,199.5,35768237,118.63,119.54,118.58,119.28,17611981
2019-04-10,198.68,200.74,198.18,200.62,21695288,119.76,120.35,119.54,120.19,16477169
2019-04-11,200.85,201.0,198.44,198.95,20900808,120.54,120.85,119.92,120.33,14209121
2019-04-12,199.2,200.14,196.21,198.87,27760668,120.64,120.98,120.37,120.95,19745143
2019-04-15,198.58,199.85,198.01,199.23,17536646,120.94,121.58,120.57,121.05,15792572
2019-04-16,199.46,201.37,198.56,199.25,25696385,121.64,121.65,120.1,120.77,14071787
2019-04-17,199.54,203.38,198.61,203.13,28906780,121.24,121.85,120.54,121.77,19300938
2019-04-18,203.12,204.15,202.52,203.86,24195766,122.19,123.52,121.3,123.37,27990998
2019-04-22,202.83,204.94,202.34,204.53,19439545,122.62,124.0,122.57,123.76,15648724
2019-04-23,204.43,207.75,203.9,207.48,23322991,124.1,125.58,123.83,125.44,24025521
2019-04-24,207.36,208.48,207.05,207.16,17540609,125.79,125.85,124.52,125.01,31256980
2019-04-25,206.83,207.76,205.12,205.28,18543206,130.06,131.37,128.83,129.15,38033892
2019-04-26,204.9,205.0,202.12,204.3,18649102,129.7,130.51,129.02,129.89,23654933
2019-04-29,204.4,205.97,203.86,204.61,22204716,129.9,130.18,129.35,129.77,16324183
2019-04-30,203.06,203.4,199.11,200.67,46534923,129.81,130.7,129.39,130.6,24166503
2019-05-01,209.88,215.31,209.23,210.52,64827328,130.53,130.65,127.7,127.88,26821692
2019-05-02,209.84,212.65,208.13,209.15,31996324,127.98,128.0,125.52,126.21,27350161
2019-05-03,210.89,211.84,210.23,211.75,20892378,127.36,129.43,127.25,128.9,24911126
2019-05-06,204.29,208.84,203.5,208.48,32443113,126.39,128.56,126.11,128.15,24239464
2019-05-07,205.88,207.41,200.82,202.86,38763698,126.46,127.18,124.22,125.52,36017661
2019-05-08,201.9,205.34,201.75,202.9,26339504,125.44,126.37,124.75,125.51,28418996
2019-05-09,200.4,201.68,196.66,200.72,34908607,124.29,125.79,123.57,125.5,27235835
2019-05-10,197.41,198.85,192.77,197.18,41208712,124.91,127.93,123.82,127.13,30915084
2019-05-13,187.71,189.48,182.85,185.72,57430623,124.11,125.55,123.04,123.35,33944923
2019-05-14,186.41,189.7,185.41,188.66,36529677,123.87,125.88,123.7,124.73,25266315
2019-05-15,186.27,191.75,186.02,190.92,26544718,124.26,126.71,123.7,126.02,24722708
2019-05-16,189.91,192.46,188.84,190.08,33031364,126.75,129.38,126.46,128.93,30112216
2019-05-17,186.93,190.9,186.76,189.0,32879090,128.3,130.46,127.92,128.07,25770539
2019-05-20,183.52,184.34,180.28,183.09,38612290,126.52,127.58,125.76,126.22,23706934
2019-05-21,185.22,188.0,184.7,186.6,28364848,127.43,127.52,126.58,126.9,15293260
2019-05-22,184.66,185.71,182.55,182.78,29748556,126.62,128.24,126.52,127.67,15396485
2019-05-23,179.8,180.54,177.81,179.66,36529736,126.2,126.29,124.74,126.18,23603810
2019-05-24,180.2,182.14,178.62,178.97,23714686,126.91,127.41,125.97,126.24,14123358
2019-05-28,178.92,180.59,177.91,178.23,27948160,126.98,128.0,126.05,126.16,23128359
2019-05-29,176.42,179.35,176.0,177.38,28481165,125.38,125.39,124.04,124.94,22763140
2019-05-30,177.95,179.23,176.67,178.3,21218412,125.26,125.76,124.78,125.73,16829613
2019-05-31,176.23,177.99,174.99,175.07,27043584,124.23,124.61,123.32,123.68,26646769
