,AAPL,AAPL,AAPL,AAPL,AAPL,DFS,DFS,DFS,DFS,DFS,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,154.89,158.85,154.23,157.92,37039737,57.92,59.89,57.79,59.41,2096660,306.1,315.13,298.8,310.12,11658648,99.55,101.75,98.94,101.12,35329345,1027.2,1060.79,1025.27,1054.68,1593395
2019-01-03,143.98,145.72,142.0,142.19,91312195,59.04,59.41,58.16,58.41,2363391,307.0,309.4,297.38,300.36,6965184,100.1,100.18,97.2,97.4,42578410,1050.67,1066.26,1022.37,1025.47,2097957
2019-01-04,144.53,148.54,143.8,148.26,58607070,59.63,61.48,59.44,61.29,2093033,306.0,318.0,302.73,317.69,7394116,99.72,102.51,98.93,101.93,44060620,1042.56,1080.0,1036.86,1078.07,2301428
2019-01-07,148.7,148.83,145.9,147.93,54777764,61.08,62.11,60.81,61.39,2460924,321.72,336.74,317.75,334.96,7551225,101.64,103.26,100.98,102.06,35656136,1080.97,1082.7,1062.64,1075.92,2372667
2019-01-08,149.56,151.82,148.52,150.75,41025314,62.14,62.67,61.27,61.5,2688928,341.96,344.01,327.02,335.35,7008516,103.04,103.97,101.71,102.8,31514415,1086.0,1093.35,1068.34,1085.37,1770654
2019-01-09,151.29,154.53,149.63,153.31,45099081,61.8,62.44,61.25,62.13,1863417,335.5,343.5,331.47,338.53,5432945,103.86,104.88,103.24,104.27,32280840,1087.99,1091.64,1074.37,1081.65,1349912
2019-01-10,152.5,153.97,150.86,153.8,35780670,61.87,62.71,61.65,62.49,1935700,334.4,345.39,331.79,344.97,6056354,103.22,103.75,102.38,103.6,30067556,1074.94,1079.81,1064.68,1078.83,1329861
2019-01-11,152.88,153.7,151.51,152.29,27023241,62.1,62.75,61.69,62.54,1721172,342.09,348.41,338.77,347.26,5039052,103.19,103.44,101.64,102.8,28314202,1069.9,1073.37,1056.43,1064.47,1543238
2019-01-14,150.85,151.27,149.22,150.0,32439186,62.15,63.28,62.02,63.19,2531165,342.38,342.5,334.0,334.4,5247284,101.9,102.87,101.26,102.05,28437079,1053.34,1058.45,1048.55,1051.51,1424486
2019-01-15,150.27,153.39,150.05,153.07,28710324,62.92,63.08,62.11,62.94,1913081,335.0,348.8,334.5,344.43,6056590,102.51,105.05,101.88,105.01,31587616,1058.01,1088.27,1054.44,1086.51,1875852
2019-01-16,153.08,155.88,153.0,154.94,30569706,63.09,64.65,63.07,64.36,2757056,344.78,352.0,343.5,346.05,4691739,105.26,106.25,104.96,105.38,29853865,1090.0,1102.36,1088.01,1089.51,1914041
