date,open,high,low,close,volume
2019-08-16,17.04,17.63,17.04,17.52,4273197
2019-08-19,17.84,18.37,17.81,18.23,3505041
2019-08-20,18.12,18.4,18.06,18.31,2954053
2019-08-21,18.67,19.01,18.46,18.47,3383098
2019-08-22,18.46,18.54,17.9,18.05,2999286
2019-08-23,17.83,18.0,17.31,17.48,3236669
2019-08-26,17.73,17.73,17.09,17.17,3110957
2019-08-27,17.31,17.37,16.68,16.73,2376852
2019-08-28,16.58,17.28,16.46,17.01,2916655
2019-08-29,17.32,17.98,17.26,17.8,3069428
2019-08-30,17.94,18.17,17.71,17.93,2095399
2019-09-03,17.63,17.7,17.09,17.61,2604541
2019-09-04,18.02,18.39,17.96,18.28,2574820
2019-09-05,18.71,19.76,18.7,19.62,5547297
2019-09-06,19.52,19.64,18.98,19.11,2970575
2019-09-09,19.27,20.42,19.27,20.3,4241617
2019-09-10,20.39,20.89,19.85,20.83,3213843
2019-09-11,21.35,22.28,20.7,22.18,6270074
2019-09-12,22.03,22.82,21.38,22.56,5143783
2019-09-13,22.95,23.32,22.7,22.89,4218917
