date,open,high,low,close,volume
2019-08-16,15.12,15.17,15.05,15.12,105619
2019-08-19,14.97,15.0,14.91,14.92,84081
2019-08-20,15.01,15.05,15.0,15.05,28493
2019-08-21,15.0,15.04,14.99,15.01,57204
2019-08-22,14.97,15.01,14.94,14.97,63101
2019-08-23,15.02,15.27,15.0,15.27,52376
2019-08-26,15.29,15.34,15.24,15.24,90341
2019-08-27,15.28,15.41,15.28,15.4,66415
2019-08-28,15.39,15.42,15.33,15.37,176624
2019-08-29,15.4,15.4,15.17,15.26,111196
2019-08-30,15.23,15.27,15.16,15.21,53881
2019-09-03,15.35,15.47,15.33,15.43,99019
2019-09-04,15.43,15.53,15.41,15.52,147036
2019-09-05,15.35,15.35,15.06,15.15,162786
2019-09-06,15.22,15.22,15.02,15.03,62600
2019-09-09,15.08,15.08,14.96,14.97,59226
2019-09-10,14.95,14.97,14.84,14.84,55218
2019-09-11,14.87,14.96,14.86,14.94,74979
2019-09-12,15.11,15.14,14.95,14.96,110564
2019-09-13,15.01,15.03,14.83,14.85,28805
