date,open,high,low,close,volume
2019-08-16,69.99,70.03,69.81,69.83,7155563
2019-08-19,69.98,70.0,69.67,69.67,6639452
2019-08-20,69.7,69.79,69.44,69.57,8973821
2019-08-21,69.59,69.71,69.55,69.57,6841711
2019-08-22,69.58,69.69,69.42,69.53,8257439
2019-08-23,69.47,69.58,69.39,69.52,4568738
2019-08-26,69.67,69.72,69.53,69.58,3519791
2019-08-27,69.59,69.67,69.23,69.53,6567089
2019-08-28,69.53,69.59,69.3,69.51,6598816
2019-08-29,69.65,69.65,69.47,69.48,4311471
2019-08-30,69.5,69.57,69.35,69.49,8520324
2019-09-03,69.47,69.6,69.28,69.44,10612016
2019-09-04,69.53,69.61,69.43,69.57,4931852
2019-09-05,69.57,69.7,69.51,69.62,5331158
2019-09-06,69.71,70.16,69.7,70.09,11485249
2019-09-09,69.96,70.15,69.88,70.11,8486124
2019-09-10,70.0,70.11,69.99,70.05,4998324
2019-09-11,70.01,70.03,69.91,69.99,19273843
2019-09-12,69.92,70.03,69.92,70.0,22736428
2019-09-13,70.03,70.22,69.95,70.05,14188041
