date,open,high,low,close,volume
2019-08-16,9.16,9.16,9.11,9.11,436
2019-08-19,8.41,9.71,8.41,9.7,2752
2019-08-20,8.89,9.5,8.89,9.48,978
2019-08-21,10.0,10.0,10.0,10.0,674
2019-08-22,8.66,10.01,8.66,9.96,3268
2019-08-23,0.0,0.0,0.0,9.96,0
2019-08-26,9.96,9.97,9.9,9.9,525
2019-08-27,10.19,10.19,10.19,10.19,107
2019-08-28,10.51,10.53,10.51,10.53,692
2019-08-29,10.55,10.55,10.0,10.45,734
2019-08-30,10.75,10.75,9.98,9.98,649
2019-09-03,9.1,10.0,9.1,10.0,566
2019-09-04,0.0,0.0,0.0,10.0,42
2019-09-05,10.7,10.95,10.7,10.7,2014
2019-09-06,10.16,10.7,10.16,10.7,686
2019-09-09,9.72,10.48,9.72,10.48,982
2019-09-10,9.96,9.97,9.96,9.97,433
2019-09-11,10.4,10.4,10.38,10.38,498
2019-09-12,10.02,10.44,10.02,10.44,252
2019-09-13,10.02,10.02,9.9,10.02,2636
