date,open,high,low,close,volume
2019-08-16,0.0,0.0,0.0,2.41,48
2019-08-19,2.4,2.4,2.4,2.4,322
2019-08-20,2.39,2.5,2.35,2.43,13825
2019-08-21,2.38,2.59,2.38,2.59,16269
2019-08-22,2.64,2.65,2.64,2.65,558
2019-08-23,2.69,2.79,2.59,2.79,3521
2019-08-26,2.72,2.73,2.6,2.73,4273
2019-08-27,2.74,2.79,2.66,2.66,1555
2019-08-28,2.77,2.78,2.56,2.56,1679
2019-08-29,2.56,2.84,2.56,2.72,5388
2019-08-30,2.57,2.75,2.46,2.52,10073
2019-09-03,2.41,2.65,2.41,2.61,3437
2019-09-04,2.84,2.84,2.7,2.7,300
2019-09-05,0.0,0.0,0.0,2.7,120
2019-09-06,2.75,2.75,2.75,2.75,381
2019-09-09,0.0,0.0,0.0,2.75,7
2019-09-10,0.0,0.0,0.0,2.75,36
2019-09-11,2.55,2.55,2.55,2.55,116
2019-09-12,2.82,2.82,2.74,2.74,992
2019-09-13,2.73,2.74,2.67,2.74,2216
