date,open,high,low,close,volume
2019-08-16,62.74,64.59,62.62,64.36,557064
2019-08-19,65.0,65.32,64.36,64.38,427888
2019-08-20,64.54,64.54,63.18,63.3,410954
2019-08-21,64.05,64.63,63.9,64.18,380630
2019-08-22,64.45,65.45,64.39,64.53,418609
2019-08-23,63.95,64.73,61.89,62.14,431891
2019-08-26,62.56,63.53,61.77,63.41,470240
2019-08-27,64.23,64.23,62.8,62.93,571172
2019-08-28,62.6,64.26,62.2,64.03,346580
2019-08-29,64.63,65.05,63.95,64.79,311699
2019-08-30,65.05,65.22,63.68,64.11,449625
2019-09-03,63.72,64.04,62.06,62.21,435832
2019-09-04,62.76,62.86,61.24,61.68,434008
2019-09-05,62.32,63.44,62.17,62.74,392125
2019-09-06,62.94,63.23,61.45,61.52,354694
2019-09-09,61.7,62.06,60.37,61.01,517026
2019-09-10,60.86,63.19,60.37,62.75,539934
2019-09-11,62.72,64.22,62.4,64.16,482634
2019-09-12,64.67,64.76,62.61,62.73,426325
2019-09-13,62.52,63.58,62.28,62.75,364199
