date,open,high,low,close,volume
2019-08-16,45.73,47.14,45.73,47.07,105074
2019-08-19,47.84,48.87,47.35,47.38,146655
2019-08-20,47.44,47.44,46.79,46.84,101085
2019-08-21,47.45,47.95,47.11,47.77,105803
2019-08-22,47.78,48.52,46.92,47.05,167835
2019-08-23,46.92,47.31,45.33,45.58,108905
2019-08-26,46.35,46.51,45.67,46.42,96778
2019-08-27,46.75,46.75,45.49,45.76,123215
2019-08-28,45.56,47.14,45.56,46.77,59428
2019-08-29,47.23,47.86,46.79,47.53,85790
2019-08-30,47.77,48.43,47.47,47.97,82634
2019-09-03,47.61,47.61,45.71,46.13,97354
2019-09-04,46.69,47.87,46.5,47.62,118079
2019-09-05,48.18,49.76,48.02,48.42,140168
2019-09-06,48.85,49.15,47.42,47.5,90856
2019-09-09,47.63,47.98,46.69,47.42,95202
2019-09-10,47.46,48.19,46.45,47.81,104725
2019-09-11,48.06,49.76,48.01,49.66,155949
2019-09-12,50.03,51.12,49.05,50.63,241406
2019-09-13,50.91,51.51,49.66,49.84,192463
