date,open,high,low,close,volume
2019-08-16,26.69,27.05,26.41,26.94,233998
2019-08-19,27.69,27.84,27.08,27.45,514340
2019-08-20,27.36,27.61,26.46,26.6,366861
2019-08-21,26.83,27.27,26.64,26.7,256960
2019-08-22,26.78,27.04,26.43,26.63,204682
2019-08-23,26.35,26.72,25.34,25.75,699559
2019-08-26,25.96,26.47,24.78,24.97,476573
2019-08-27,25.3,25.39,24.57,24.63,410020
2019-08-28,24.53,26.03,24.46,25.65,508988
2019-08-29,25.87,26.89,25.87,25.95,309053
2019-08-30,26.31,26.64,25.75,25.85,219170
2019-09-03,25.4,25.47,24.7,24.97,381411
2019-09-04,25.32,25.52,24.79,25.3,309297
2019-09-05,25.67,27.67,25.65,27.33,467832
2019-09-06,27.33,27.71,26.8,27.55,195896
2019-09-09,27.71,29.38,27.71,29.2,504343
2019-09-10,29.2,29.75,29.05,29.17,371830
2019-09-11,29.39,29.52,28.37,29.5,389017
2019-09-12,29.45,29.68,28.23,29.34,391559
2019-09-13,29.88,30.48,27.01,27.12,1785274
