date,open,high,low,close,volume
2019-08-16,64.18,64.63,64.17,64.5,1264127
2019-08-19,65.54,65.59,65.1,65.13,972423
2019-08-20,65.35,65.45,65.16,65.22,801914
2019-08-21,65.7,65.74,65.32,65.55,480685
2019-08-22,64.93,64.97,64.42,64.66,679498
2019-08-23,64.59,65.12,63.72,63.77,1798006
2019-08-26,64.32,64.37,64.04,64.31,1361714
2019-08-27,64.67,64.88,64.39,64.4,2216158
2019-08-28,64.22,64.57,64.08,64.48,1857706
2019-08-29,64.9,65.22,64.75,65.09,1779858
2019-08-30,65.42,65.49,65.02,65.28,1954668
2019-09-03,64.52,64.88,64.52,64.72,1460988
2019-09-04,65.99,66.2,65.86,66.14,2631600
2019-09-05,66.79,67.01,66.7,66.9,3438075
2019-09-06,67.23,67.3,67.06,67.19,1512170
2019-09-09,67.31,67.51,67.2,67.46,868474
2019-09-10,67.41,67.57,67.14,67.5,1029791
2019-09-11,67.76,68.04,67.63,67.97,1003343
2019-09-12,68.31,68.78,68.06,68.45,1073322
2019-09-13,68.82,69.03,68.71,68.92,1035307
