date,open,high,low,close,volume
2019-08-16,57.79,59.39,56.92,59.22,724022
2019-08-19,60.4,60.91,59.59,60.11,767773
2019-08-20,60.27,60.97,59.35,60.75,974056
2019-08-21,61.35,61.35,60.23,60.34,792527
2019-08-22,60.53,62.62,60.35,62.37,668974
2019-08-23,62.15,62.69,59.14,59.37,892618
2019-08-26,60.09,61.02,59.05,60.96,402831
2019-08-27,61.45,62.35,60.4,60.98,548078
2019-08-28,60.71,61.91,59.21,59.94,479929
2019-08-29,61.15,62.06,60.93,61.33,401090
2019-08-30,61.56,61.74,59.72,59.97,465697
2019-09-03,59.53,59.53,57.9,58.99,649552
2019-09-04,59.71,60.24,59.13,59.97,345131
2019-09-05,60.87,61.93,60.13,61.19,437624
2019-09-06,61.16,62.49,60.64,61.99,330588
2019-09-09,62.44,62.44,59.23,59.55,633467
2019-09-10,59.29,60.6,58.11,60.57,485487
2019-09-11,60.78,62.99,60.32,62.94,462941
2019-09-12,63.0,64.72,62.01,64.37,436754
2019-09-13,64.5,65.66,63.96,65.11,473441
