date,open,high,low,close,volume
2019-08-16,2.18,2.32,2.18,2.2,451411
2019-08-19,2.25,2.27,2.15,2.23,373559
2019-08-20,2.24,2.26,2.18,2.19,163179
2019-08-21,2.2,2.23,2.13,2.2,192363
2019-08-22,2.22,2.23,2.04,2.04,442183
2019-08-23,2.03,2.08,1.82,1.83,488223
2019-08-26,1.91,1.94,1.82,1.88,294595
2019-08-27,1.89,1.89,1.73,1.73,332935
2019-08-28,1.73,1.83,1.71,1.79,374421
2019-08-29,1.81,1.86,1.75,1.82,151807
2019-08-30,1.84,1.85,1.46,1.54,1097725
2019-09-03,1.97,3.33,1.85,2.94,23159736
2019-09-04,2.73,2.97,2.56,2.97,4922865
2019-09-05,2.92,3.05,2.8,3.01,1714564
2019-09-06,2.99,3.39,2.85,2.98,2864198
2019-09-09,2.98,3.05,2.78,3.01,887725
2019-09-10,3.0,3.22,2.88,3.17,900649
2019-09-11,3.21,3.33,3.04,3.12,904543
2019-09-12,3.12,3.28,3.07,3.14,556354
2019-09-13,3.14,3.2,2.95,2.97,510110
