date,open,high,low,close,volume
2019-08-16,4.68,4.74,4.65,4.7,21250591
2019-08-19,4.75,4.76,4.66,4.67,20635271
2019-08-20,4.65,4.73,4.63,4.66,17027476
2019-08-21,4.7,4.71,4.64,4.65,22464248
2019-08-22,4.63,4.67,4.49,4.59,34969991
2019-08-23,4.56,4.58,4.38,4.42,40149205
2019-08-26,4.43,4.46,4.32,4.37,18156790
2019-08-27,4.38,4.45,4.31,4.37,31087427
2019-08-28,4.35,4.4,4.31,4.39,22232001
2019-08-29,4.39,4.48,4.37,4.48,23878292
2019-08-30,4.49,4.57,4.49,4.54,28067589
2019-09-03,4.43,4.54,4.41,4.44,29304438
2019-09-04,4.5,4.6,4.5,4.58,19266276
2019-09-05,4.63,4.66,4.56,4.58,18406218
2019-09-06,4.63,4.66,4.56,4.61,17169791
2019-09-09,4.58,4.63,4.58,4.6,12381062
2019-09-10,4.59,4.67,4.54,4.6,19608991
2019-09-11,4.66,4.75,4.61,4.65,21383893
2019-09-12,4.74,4.8,4.7,4.79,32800445
2019-09-13,4.77,4.81,4.65,4.66,23954287
