date,open,high,low,close,volume
2019-08-16,89.06,91.1,89.06,90.07,100648
2019-08-19,91.03,91.86,90.64,90.96,93672
2019-08-20,90.79,91.64,90.0,90.49,89440
2019-08-21,91.39,91.57,90.2,90.57,120402
2019-08-22,90.93,92.03,90.37,91.25,88062
2019-08-23,90.73,91.82,88.35,88.74,103384
2019-08-26,89.58,91.0,89.24,90.49,140998
2019-08-27,91.2,92.01,90.06,90.35,100118
2019-08-28,89.9,93.17,89.9,92.63,135484
2019-08-29,93.63,94.5,93.1,93.34,109426
2019-08-30,93.72,94.5,93.13,94.3,142619
2019-09-03,93.69,94.04,92.28,92.67,149962
2019-09-04,93.43,95.4,92.89,95.28,97935
2019-09-05,96.61,99.48,96.61,97.63,111378
2019-09-06,97.81,98.48,96.27,96.55,104543
2019-09-09,96.95,100.61,96.65,100.07,197231
2019-09-10,99.91,101.84,99.28,101.48,299424
2019-09-11,101.49,103.92,99.99,102.56,332392
2019-09-12,102.82,103.17,100.88,101.8,368718
2019-09-13,99.95,101.64,99.05,100.33,188658
