date,open,high,low,close,volume
2019-08-16,38.18,38.85,38.17,38.53,212047
2019-08-19,38.97,39.22,38.68,38.93,234411
2019-08-20,38.82,38.82,38.09,38.12,404005
2019-08-21,38.5,38.87,38.37,38.68,161498
2019-08-22,38.86,39.16,38.39,38.46,221806
2019-08-23,38.22,38.47,36.72,36.84,282062
2019-08-26,37.34,37.34,36.7,37.23,845139
2019-08-27,37.57,37.62,36.61,36.63,253964
2019-08-28,36.44,36.79,35.98,36.58,325000
2019-08-29,37.09,37.4,36.77,37.15,381788
2019-08-30,37.48,37.62,36.95,37.26,222532
2019-09-03,37.01,37.13,36.45,36.59,506686
2019-09-04,37.0,37.15,36.34,36.65,597864
2019-09-05,37.09,37.84,37.09,37.37,471982
2019-09-06,38.6,38.91,35.27,35.34,515511
2019-09-09,35.32,35.32,33.78,34.94,476694
2019-09-10,34.85,36.27,34.62,36.04,384043
2019-09-11,36.13,36.58,35.81,36.55,283731
2019-09-12,36.36,37.11,36.27,36.85,387980
2019-09-13,36.84,37.5,36.24,36.3,468566
