date,open,high,low,close,volume
2019-08-16,26.0,26.01,25.98,25.99,1500
2019-08-19,25.99,25.99,25.92,25.97,3900
2019-08-20,0.0,0.0,0.0,25.97,0
2019-08-21,25.97,25.97,25.95,25.95,1594
2019-08-22,25.85,25.9,25.85,25.9,1469
2019-08-23,25.9,25.97,25.9,25.93,2710
2019-08-26,25.88,25.92,25.85,25.87,5578
2019-08-27,25.88,25.88,25.88,25.88,200
2019-08-28,25.89,25.89,25.89,25.89,125
2019-08-29,25.97,25.97,25.92,25.94,2515
2019-08-30,25.88,25.88,25.88,25.88,311
2019-09-03,25.95,25.95,25.91,25.91,1034
2019-09-04,25.92,25.98,25.92,25.98,3503
2019-09-05,25.99,26.1,25.97,26.04,1316
2019-09-06,26.02,26.02,25.96,26.0,1132
2019-09-09,26.16,26.16,26.06,26.16,1940
2019-09-10,26.15,26.26,26.14,26.26,2277
2019-09-11,26.03,26.13,25.95,26.11,870
2019-09-12,26.13,26.13,26.12,26.12,816
2019-09-13,0.0,0.0,0.0,26.12,0
