date,open,high,low,close,volume
2019-08-16,25.67,25.74,25.66,25.7,1390
2019-08-19,0.0,0.0,0.0,25.7,0
2019-08-20,25.65,25.75,25.65,25.69,2493
2019-08-21,25.62,25.76,25.62,25.76,790
2019-08-22,25.63,25.77,25.62,25.76,2366
2019-08-23,25.71,25.71,25.71,25.71,3316
2019-08-26,0.0,0.0,0.0,25.71,102
2019-08-27,25.75,25.77,25.72,25.74,1350
2019-08-28,25.74,25.87,25.55,25.86,4740
2019-08-29,25.71,25.76,25.71,25.76,259
2019-08-30,25.75,25.75,25.66,25.68,540
2019-09-03,25.87,25.87,25.86,25.86,319
2019-09-04,25.58,25.58,25.58,25.58,193
2019-09-05,25.86,25.86,25.7,25.75,2214
2019-09-06,25.66,25.7,25.66,25.7,207
2019-09-09,25.77,25.86,25.77,25.84,3262
2019-09-10,25.84,25.97,25.77,25.97,2929
2019-09-11,25.84,26.05,25.75,26.05,1985
2019-09-12,25.68,25.75,25.67,25.74,423
2019-09-13,25.9,25.9,25.9,25.9,419
