date,open,high,low,close,volume
2019-08-16,25.93,26.78,25.93,26.78,3427
2019-08-19,26.6,26.6,25.8,26.18,4837
2019-08-20,26.18,26.38,26.18,26.38,1450
2019-08-21,26.35,26.35,26.35,26.35,347
2019-08-22,26.25,26.25,26.25,26.25,684
2019-08-23,26.3,26.3,26.25,26.28,500
2019-08-26,26.3,26.3,26.25,26.3,1033
2019-08-27,26.3,26.3,26.3,26.3,143
2019-08-28,26.2,26.33,25.98,26.18,3025
2019-08-29,26.07,26.37,25.87,26.37,2828
2019-08-30,26.38,26.38,26.07,26.38,493
2019-09-03,26.03,26.38,26.03,26.38,987
2019-09-04,26.29,26.77,26.29,26.36,5883
2019-09-05,26.12,26.3,26.12,26.26,452
2019-09-06,26.32,26.34,26.23,26.25,825
2019-09-09,26.35,26.38,26.19,26.35,1905
2019-09-10,26.35,26.35,26.31,26.31,567
2019-09-11,26.34,26.35,26.26,26.26,915
2019-09-12,26.35,26.35,26.33,26.33,200
2019-09-13,26.31,26.35,26.31,26.35,1721
