date,open,high,low,close,volume
2019-08-16,84.74,85.08,84.27,84.78,5786292
2019-08-19,85.79,86.13,85.33,85.56,4580027
2019-08-20,85.95,86.01,84.48,84.54,3322371
2019-08-21,85.05,85.15,84.29,84.9,3894903
2019-08-22,84.92,85.31,83.64,84.37,3206979
2019-08-23,83.84,84.25,81.36,81.93,6228406
2019-08-26,82.61,83.18,82.02,83.12,3521332
2019-08-27,83.82,84.2,83.22,83.65,4845581
2019-08-28,83.2,84.26,83.06,84.22,3889475
2019-08-29,85.0,85.1,84.46,84.82,3758630
2019-08-30,85.47,85.62,84.63,85.32,3628594
2019-09-03,84.43,84.64,83.26,84.06,4060563
2019-09-04,84.5,84.69,83.78,84.22,3673143
2019-09-05,85.0,86.16,84.56,85.9,4356370
2019-09-06,86.23,86.43,85.6,86.04,4451256
2019-09-09,86.34,86.43,83.87,84.22,4444991
2019-09-10,83.44,83.48,81.02,83.21,5613092
2019-09-11,82.45,84.56,82.25,84.52,4458904
2019-09-12,85.03,85.99,84.91,85.21,3517476
2019-09-13,85.3,85.36,83.89,84.27,3633221
