date,open,high,low,close,volume
2019-08-16,31.75,32.37,31.36,32.08,72764
2019-08-19,32.5,32.73,32.28,32.44,45236
2019-08-20,32.32,32.32,32.07,32.16,41311
2019-08-21,32.24,32.35,32.02,32.18,71238
2019-08-22,32.29,32.37,32.11,32.11,54809
2019-08-23,31.94,32.31,31.25,31.32,64171
2019-08-26,31.61,31.84,31.33,31.79,40876
2019-08-27,31.64,31.76,30.97,31.24,78369
2019-08-28,30.96,31.9,30.96,31.64,50341
2019-08-29,31.62,32.31,31.28,32.23,187054
2019-08-30,32.43,32.43,32.0,32.41,78602
2019-09-03,32.13,32.22,31.54,31.85,41946
2019-09-04,32.18,32.18,31.8,31.95,43306
2019-09-05,32.35,33.3,32.24,33.03,65754
2019-09-06,32.92,32.96,32.02,32.62,44453
2019-09-09,32.81,34.27,32.73,34.01,203795
2019-09-10,33.93,34.99,33.62,34.79,122111
2019-09-11,34.8,35.97,34.52,35.8,118963
2019-09-12,35.57,36.11,35.12,36.04,127180
2019-09-13,36.05,36.25,35.41,35.5,173108
