date,open,high,low,close,volume
2019-08-16,35.85,36.32,35.85,36.32,1346
2019-08-19,35.36,36.56,35.36,36.39,4815
2019-08-20,34.1,35.39,34.1,35.39,1031
2019-08-21,35.42,35.42,35.07,35.07,1433
2019-08-22,35.31,35.46,34.94,34.94,2230
2019-08-23,33.71,34.52,33.71,34.47,6328
2019-08-26,34.61,34.61,33.66,33.89,6072
2019-08-27,34.8,34.81,34.6,34.72,2642
2019-08-28,34.62,34.96,34.31,34.85,4628
2019-08-29,34.86,35.55,34.86,34.97,1603
2019-08-30,34.71,35.13,34.71,34.76,2809
2019-09-03,34.64,35.06,34.31,34.6,5462
2019-09-04,34.88,35.22,33.84,34.7,4243
2019-09-05,35.13,35.32,34.05,34.35,8917
2019-09-06,33.99,35.0,32.12,34.6,64736
2019-09-09,34.77,35.24,34.68,34.9,2371
2019-09-10,35.0,35.79,35.0,35.48,10179
2019-09-11,35.82,36.9,35.82,36.35,4321
2019-09-12,36.37,37.39,35.93,37.18,6682
2019-09-13,36.51,37.49,36.5,36.5,6927
