date,open,high,low,close,volume
2019-08-16,29.32,29.86,29.22,29.61,1102958
2019-08-19,29.67,29.87,29.11,29.24,699017
2019-08-20,29.32,29.67,28.98,29.28,601535
2019-08-21,29.63,30.02,29.14,29.83,695349
2019-08-22,29.97,29.97,29.05,29.21,812751
2019-08-23,29.31,29.62,27.9,28.05,891088
2019-08-26,28.32,28.42,27.32,27.82,835629
2019-08-27,28.42,28.97,27.51,27.76,773009
2019-08-28,27.65,28.39,27.52,27.97,541813
2019-08-29,28.1,28.51,27.55,28.44,720423
2019-08-30,28.66,28.78,27.43,27.66,864545
2019-09-03,27.32,27.32,25.05,25.26,1751444
2019-09-04,25.58,25.8,24.21,24.84,1659921
2019-09-05,25.13,25.26,24.26,24.52,1068227
2019-09-06,24.6,24.77,23.77,23.8,1044615
2019-09-09,41.75,43.98,36.62,38.85,22620267
2019-09-10,39.05,41.95,38.06,41.22,7565106
2019-09-11,41.29,41.95,40.07,41.39,3384361
2019-09-12,41.17,41.55,39.05,39.14,2450125
2019-09-13,40.12,41.24,39.6,40.45,2962983
