date,open,high,low,close,volume
2019-08-16,17.26,17.69,17.16,17.56,131169
2019-08-19,17.73,17.88,17.66,17.68,71814
2019-08-20,17.58,17.6,17.32,17.35,61292
2019-08-21,17.39,17.5,17.25,17.4,73936
2019-08-22,17.42,17.49,17.3,17.41,94734
2019-08-23,17.35,17.43,16.74,16.84,168045
2019-08-26,16.9,16.95,16.69,16.79,107596
2019-08-27,16.75,16.77,16.13,16.14,103186
2019-08-28,16.05,16.35,16.05,16.12,73523
2019-08-29,16.18,16.62,16.18,16.44,69998
2019-08-30,16.48,16.62,16.2,16.3,69485
2019-09-03,16.16,16.27,15.77,16.16,113924
2019-09-04,16.24,16.35,16.0,16.03,85214
2019-09-05,16.15,16.78,16.15,16.52,178459
2019-09-06,15.11,16.35,15.11,15.97,127429
2019-09-09,16.04,16.65,16.03,16.57,97104
2019-09-10,16.56,17.1,16.56,17.07,93504
2019-09-11,17.06,17.63,16.82,17.61,119717
2019-09-12,17.5,17.83,17.24,17.71,116128
2019-09-13,17.74,18.13,17.73,18.08,111876
