date,open,high,low,close,volume
2019-08-16,9.48,9.63,9.47,9.55,540741
2019-08-19,9.69,9.81,9.52,9.56,582342
2019-08-20,9.55,9.62,9.5,9.57,458874
2019-08-21,9.67,9.79,9.64,9.72,626344
2019-08-22,9.7,9.89,9.67,9.84,771572
2019-08-23,9.76,9.91,9.53,9.53,733231
2019-08-26,9.69,9.69,9.32,9.33,571203
2019-08-27,9.41,9.46,9.03,9.03,605865
2019-08-28,9.03,9.4,8.97,9.27,625243
2019-08-29,9.37,9.46,9.27,9.27,513630
2019-08-30,9.3,9.43,9.23,9.27,470718
2019-09-03,9.19,9.24,9.0,9.0,511716
2019-09-04,9.12,9.28,9.06,9.19,482398
2019-09-05,9.35,9.45,9.22,9.29,591407
2019-09-06,9.29,9.37,9.2,9.31,398858
2019-09-09,9.33,9.54,9.3,9.54,652405
2019-09-10,9.55,9.99,9.46,9.87,733419
2019-09-11,9.94,10.02,9.77,10.02,429415
2019-09-12,10.04,10.12,9.86,10.07,485568
2019-09-13,10.16,10.22,9.94,10.03,536944
