date,open,high,low,close,volume
2019-08-16,1.99,2.19,1.87,2.09,481895
2019-08-19,2.13,2.34,2.01,2.18,183949
2019-08-20,2.18,2.33,2.09,2.29,78422
2019-08-21,2.31,2.34,2.21,2.26,83064
2019-08-22,2.26,2.39,2.2,2.3,46961
2019-08-23,2.29,2.38,2.2,2.26,110716
2019-08-26,2.3,2.63,2.27,2.5,133627
2019-08-27,2.53,2.54,2.35,2.41,176151
2019-08-28,2.41,2.65,2.26,2.58,96763
2019-08-29,2.61,2.7,2.5,2.65,72955
2019-08-30,2.66,2.71,2.5,2.7,204344
2019-09-03,2.66,2.77,2.51,2.56,133967
2019-09-04,2.55,2.65,2.51,2.6,147657
2019-09-05,2.61,2.9,2.61,2.88,120562
2019-09-06,2.89,2.96,2.73,2.81,143308
2019-09-09,2.82,2.93,2.77,2.91,61384
2019-09-10,2.93,3.31,2.86,3.23,250789
2019-09-11,3.3,3.49,3.25,3.41,155460
2019-09-12,3.45,3.45,2.95,3.16,111061
2019-09-13,3.23,3.35,3.13,3.27,78994
