date,open,high,low,close,volume
2019-08-16,30.64,30.86,30.43,30.83,5325
2019-08-19,31.77,31.77,31.04,31.19,327200
2019-08-20,31.17,31.25,31.0,31.07,6369
2019-08-21,31.21,31.21,30.94,30.95,23433
2019-08-22,31.12,31.12,30.83,30.87,3201
2019-08-23,30.69,30.97,30.26,30.26,3634
2019-08-26,30.31,30.51,30.3,30.47,13244
2019-08-27,30.81,30.81,30.26,30.28,4058
2019-08-28,30.28,30.53,30.25,30.46,22156
2019-08-29,30.75,30.75,30.58,30.68,2103
2019-08-30,30.96,30.99,30.49,30.61,12905
2019-09-03,30.44,30.55,30.23,30.26,10677
2019-09-04,30.51,30.69,30.51,30.69,7506
2019-09-05,31.05,31.07,30.71,30.8,11134
2019-09-06,30.93,30.93,30.75,30.75,7995
2019-09-09,30.97,30.97,30.68,30.68,4624
2019-09-10,30.6,30.6,30.34,30.47,5551
2019-09-11,30.75,31.11,30.75,31.09,18931
2019-09-12,32.0,32.0,30.78,30.88,5032
2019-09-13,31.09,31.09,31.0,31.0,619
