date,open,high,low,close,volume
2019-08-16,39.17,39.82,38.94,39.75,1121593
2019-08-19,39.86,40.2,39.8,40.07,855571
2019-08-20,40.04,40.16,39.73,39.77,672775
2019-08-21,39.97,39.97,39.56,39.83,725605
2019-08-22,39.81,40.1,39.38,39.57,1044386
2019-08-23,39.48,39.84,38.43,38.61,1108748
2019-08-26,38.88,39.04,38.67,39.02,610737
2019-08-27,39.1,39.36,38.83,39.11,1758796
2019-08-28,39.09,39.36,38.85,39.32,1143267
2019-08-29,39.8,39.82,39.28,39.5,1677470
2019-08-30,39.72,39.79,39.43,39.5,1029040
2019-09-03,39.3,40.34,39.3,40.12,1640487
2019-09-04,40.13,40.85,40.13,40.82,1230580
2019-09-05,41.0,41.46,41.0,41.13,1274480
2019-09-06,41.11,41.57,41.11,41.31,1000794
2019-09-09,41.47,41.54,41.09,41.34,1544125
2019-09-10,41.32,41.4,40.3,40.61,1729395
2019-09-11,40.49,40.7,40.35,40.57,1421224
2019-09-12,40.7,40.81,40.4,40.44,1218542
2019-09-13,40.34,40.53,40.11,40.48,1036578
