date,open,high,low,close,volume
2019-08-16,24.89,24.97,24.88,24.96,31014
2019-08-19,24.9,24.96,24.87,24.93,37506
2019-08-20,24.93,24.95,24.9,24.92,55863
2019-08-21,24.9,24.98,24.88,24.94,84636
2019-08-22,24.94,25.0,24.94,25.0,46247
2019-08-23,24.96,25.04,24.96,24.99,47123
2019-08-26,25.0,25.04,24.99,25.0,43821
2019-08-27,25.03,25.1,25.0,25.08,273802
2019-08-28,25.08,25.17,25.06,25.17,102504
2019-08-29,25.1,25.14,25.04,25.04,49093
2019-08-30,25.04,25.09,24.95,25.0,141927
2019-09-03,25.0,25.1,24.98,25.1,64606
2019-09-04,25.1,25.19,25.07,25.19,47483
2019-09-05,25.19,25.2,25.11,25.14,43256
2019-09-06,25.14,25.25,25.14,25.22,48562
2019-09-09,25.18,25.3,25.18,25.3,41192
2019-09-10,25.16,25.29,25.16,25.22,78891
2019-09-11,25.18,25.34,25.14,25.31,75568
2019-09-12,25.11,25.11,25.02,25.05,65245
2019-09-13,25.05,25.05,24.86,25.0,199847
