date,open,high,low,close,volume
2019-08-16,27.61,27.69,27.28,27.52,416289
2019-08-19,27.89,28.0,27.39,27.43,721945
2019-08-20,27.4,27.56,27.11,27.21,462445
2019-08-21,27.38,27.51,27.02,27.33,491517
2019-08-22,27.46,27.8,27.18,27.33,231014
2019-08-23,27.22,27.55,26.37,26.43,472110
2019-08-26,26.73,26.84,26.38,26.57,356834
2019-08-27,26.66,26.88,25.8,25.95,556690
2019-08-28,25.94,26.22,25.53,26.19,498577
2019-08-29,26.38,26.9,26.33,26.54,296983
2019-08-30,26.66,26.74,26.28,26.46,408033
2019-09-03,26.26,26.45,25.76,25.79,419422
2019-09-04,26.05,26.32,25.62,26.11,787713
2019-09-05,26.44,27.01,26.15,26.32,819555
2019-09-06,26.49,27.22,26.25,27.06,2702680
2019-09-09,28.09,29.08,26.83,28.89,2129567
2019-09-10,28.87,30.49,28.82,30.43,1799924
2019-09-11,30.61,32.0,30.12,31.94,1881776
2019-09-12,31.94,32.15,31.36,31.58,848626
2019-09-13,31.61,32.14,31.61,31.97,674757
