date,open,high,low,close,volume
2019-08-16,1.8,1.94,1.71,1.81,95248
2019-08-19,1.85,1.94,1.81,1.88,50585
2019-08-20,1.89,1.93,1.8,1.86,36137
2019-08-21,1.85,1.93,1.83,1.86,55255
2019-08-22,1.9,2.02,1.89,1.98,104600
2019-08-23,2.01,2.17,1.88,1.94,170991
2019-08-26,2.0,2.06,1.82,1.95,175204
2019-08-27,2.02,2.08,1.97,2.02,66117
2019-08-28,2.0,2.05,1.95,1.96,129957
2019-08-29,2.0,2.03,1.98,2.02,35024
2019-08-30,2.03,2.11,1.96,1.99,92712
2019-09-03,1.97,2.1,1.97,1.99,100646
2019-09-04,2.03,2.24,2.02,2.1,218116
2019-09-05,2.15,2.24,2.09,2.22,210658
2019-09-06,2.24,2.39,2.24,2.29,287522
2019-09-09,2.34,2.45,2.3,2.39,270986
2019-09-10,2.4,2.51,2.3,2.42,143138
2019-09-11,2.42,2.43,2.25,2.29,142712
2019-09-12,2.33,2.38,2.13,2.18,208194
2019-09-13,2.25,2.29,2.07,2.26,151596
