date,open,high,low,close,volume
2019-08-16,76.88,77.05,76.85,77.05,209895
2019-08-19,77.7,77.89,77.67,77.78,234699
2019-08-20,77.35,77.57,77.35,77.39,3144
2019-08-21,78.05,78.26,77.55,77.84,38890
2019-08-22,78.02,78.02,77.7,77.87,3748
2019-08-23,77.64,77.64,76.17,76.17,14625
2019-08-26,76.8,76.88,76.4,76.88,35214
2019-08-27,77.22,77.22,76.88,76.88,12452
2019-08-28,76.74,77.03,76.74,76.96,1968
2019-08-29,77.65,77.97,77.65,77.8,2200
2019-08-30,78.17,78.38,77.92,78.03,3251
2019-09-03,77.53,77.67,77.49,77.65,2310
2019-09-04,78.37,78.62,78.33,78.62,3121
2019-09-05,79.55,79.65,79.47,79.52,12043
2019-09-06,79.85,79.86,79.7,79.73,3049
2019-09-09,79.94,79.94,79.67,79.73,3575
2019-09-10,79.07,80.0,79.07,79.98,10509
2019-09-11,80.01,80.45,80.01,80.38,2541
2019-09-12,80.85,80.97,80.76,80.85,4093
2019-09-13,80.95,81.08,80.88,81.08,7105
