date,open,high,low,close,volume
2019-08-16,24.22,24.22,24.22,24.22,7909
2019-08-19,24.29,24.45,24.29,24.34,4884
2019-08-20,24.34,24.37,24.34,24.36,15524
2019-08-21,23.65,24.4,23.65,24.4,2558
2019-08-22,24.44,24.5,24.43,24.45,3371
2019-08-23,24.41,24.41,24.09,24.09,3350
2019-08-26,24.21,24.27,24.16,24.18,5998
2019-08-27,24.12,24.14,24.11,24.12,1433
2019-08-28,24.26,24.27,24.23,24.23,31001
2019-08-29,24.38,24.44,24.37,24.42,25158
2019-08-30,24.52,24.52,24.39,24.47,43176
2019-09-03,24.34,24.38,24.34,24.35,7864
2019-09-04,24.54,24.6,24.49,24.54,12164
2019-09-05,24.89,24.89,24.74,24.78,13375
2019-09-06,24.82,24.9,24.79,24.85,6679
2019-09-09,24.83,25.8,24.83,24.94,27731
2019-09-10,25.0,25.02,24.96,25.01,14887
2019-09-11,25.11,25.18,25.11,25.16,23572
2019-09-12,25.16,25.32,25.16,25.24,14868
2019-09-13,25.24,25.24,25.22,25.23,699
