date,open,high,low,close,volume
2019-08-16,5.18,5.45,5.1,5.38,108004
2019-08-19,5.39,5.83,5.39,5.73,146621
2019-08-20,5.68,5.8,5.57,5.65,51444
2019-08-21,5.65,5.76,5.58,5.64,72731
2019-08-22,5.61,5.73,5.41,5.58,39074
2019-08-23,5.57,5.64,5.28,5.31,73477
2019-08-26,5.3,5.34,5.15,5.23,60653
2019-08-27,5.29,5.33,4.96,4.99,77627
2019-08-28,4.99,5.25,4.95,5.2,133893
2019-08-29,5.24,5.24,5.02,5.14,25043
2019-08-30,5.13,5.29,4.96,5.22,266219
2019-09-03,5.17,5.21,4.92,4.94,37787
2019-09-04,4.94,5.02,4.89,4.99,45636
2019-09-05,5.06,5.19,5.02,5.13,37516
2019-09-06,5.13,5.25,5.07,5.1,37374
2019-09-09,5.1,5.33,5.0,5.29,138678
2019-09-10,5.32,5.35,5.09,5.31,82621
2019-09-11,5.35,5.4,5.27,5.3,50112
2019-09-12,5.3,5.45,5.1,5.25,998349
2019-09-13,5.39,5.39,5.0,5.05,50153
