date,open,high,low,close,volume
2019-08-16,32.69,33.03,32.49,32.94,832509
2019-08-19,34.1,34.21,33.81,33.94,836096
2019-08-20,33.7,33.97,33.55,33.75,582772
2019-08-21,34.1,34.24,33.77,33.82,624082
2019-08-22,33.96,34.12,33.49,33.6,507546
2019-08-23,33.4,34.04,33.19,33.4,1208371
2019-08-26,33.68,33.85,33.31,33.7,1005920
2019-08-27,33.78,34.1,33.05,33.18,1020680
2019-08-28,33.17,33.83,33.03,33.64,1176277
2019-08-29,33.99,35.23,33.95,35.18,1389251
2019-08-30,35.39,35.73,35.21,35.48,684798
2019-09-03,35.12,35.14,34.63,34.92,802162
2019-09-04,35.33,36.22,35.22,36.13,898457
2019-09-05,36.5,37.61,36.5,37.08,1104689
2019-09-06,37.11,37.77,37.1,37.53,1169452
2019-09-09,37.7,38.34,37.34,38.24,1387730
2019-09-10,38.31,38.41,37.79,38.0,1266920
2019-09-11,38.09,38.41,37.93,38.39,782779
2019-09-12,38.27,38.75,37.95,38.03,1077637
2019-09-13,38.19,38.32,37.74,37.8,827749
