date,open,high,low,close,volume
2019-08-16,34.87,35.15,34.71,35.05,6373
2019-08-19,35.07,35.3,34.81,35.1,7690
2019-08-20,35.05,35.17,34.35,34.83,3959
2019-08-21,34.5,34.98,34.4,34.47,2993
2019-08-22,34.48,34.75,34.4,34.4,5194
2019-08-23,34.5,34.57,32.5,32.51,8702
2019-08-26,32.86,33.14,32.29,33.14,9294
2019-08-27,33.14,34.24,33.14,33.44,8010
2019-08-28,33.29,33.52,32.8,33.4,3837
2019-08-29,33.5,34.05,33.5,33.63,7140
2019-08-30,33.66,33.76,33.37,33.68,5506
2019-09-03,33.31,33.72,33.13,33.52,5706
2019-09-04,33.53,33.72,33.2,33.6,2608
2019-09-05,33.8,33.85,33.03,33.3,6872
2019-09-06,33.39,33.61,33.39,33.39,2879
2019-09-09,33.56,33.67,33.56,33.67,3351
2019-09-10,33.59,34.36,33.58,34.02,7764
2019-09-11,34.3,35.21,34.0,34.47,16301
2019-09-12,34.32,35.13,34.27,35.0,9508
2019-09-13,35.24,36.16,34.95,35.7,12492
