date,open,high,low,close,volume
2019-08-16,2.61,2.9,2.6,2.7,2657994
2019-08-19,2.76,2.94,2.66,2.93,1351586
2019-08-20,2.93,3.26,2.88,3.22,2542088
2019-08-21,3.28,3.44,3.04,3.14,2568999
2019-08-22,3.13,3.28,3.06,3.18,1348746
2019-08-23,3.17,3.33,3.11,3.12,1225586
2019-08-26,3.16,3.41,3.13,3.33,1633355
2019-08-27,3.35,3.62,3.28,3.38,2349489
2019-08-28,3.35,3.75,3.34,3.62,1967049
2019-08-29,3.67,3.74,3.3,3.42,1531433
2019-08-30,3.42,3.42,3.18,3.23,1362398
2019-09-03,3.21,3.21,2.91,2.94,1347457
2019-09-04,3.0,3.08,2.9,2.92,929438
2019-09-05,2.94,2.98,2.77,2.83,1842774
2019-09-06,2.83,2.87,2.67,2.8,1747580
2019-09-09,2.82,3.22,2.75,3.15,1449598
2019-09-10,3.15,4.02,3.13,4.0,3608114
2019-09-11,4.02,4.46,3.72,4.01,3488237
2019-09-12,4.01,4.04,3.64,3.85,1900660
2019-09-13,3.86,4.08,3.77,3.86,1376667
