date,open,high,low,close,volume
2019-08-16,0.8,0.95,0.77,0.8732,2741048
2019-08-19,0.87,0.945,0.8541,0.9301,1253254
2019-08-20,0.9341,0.9688,0.91,0.955,468748
2019-08-21,0.9549,0.99,0.94,0.96,598335
2019-08-22,0.9686,1.12,0.96,1.09,1448005
2019-08-23,1.12,1.12,0.9799,1.06,895799
2019-08-26,1.06,1.12,0.95,1.01,632820
2019-08-27,1.01,1.03,0.95,0.9513,439532
2019-08-28,0.952,0.9884,0.95,0.9638,265348
2019-08-29,1.01,1.02,0.9427,1.01,472333
2019-08-30,1.01,1.02,0.9759,1.01,295134
2019-09-03,1.0,1.02,0.95,0.9503,366725
2019-09-04,0.9569,1.0,0.91,0.9199,274219
2019-09-05,1.05,1.07,0.8585,0.9209,1084116
2019-09-06,0.88,1.06,0.8529,1.01,1840051
2019-09-09,0.99,1.06,0.95,1.04,363751
2019-09-10,1.03,1.18,1.01,1.12,482473
2019-09-11,1.14,1.14,1.06,1.11,312589
2019-09-12,1.1,1.11,1.04,1.08,223608
2019-09-13,1.11,1.13,1.0,1.03,708737
