date,open,high,low,close,volume
2019-08-16,1.8,1.95,1.79,1.91,1804626
2019-08-19,1.93,1.98,1.76,1.79,1524194
2019-08-20,1.9,1.9,1.75,1.83,1101878
2019-08-21,1.83,2.05,1.8,1.98,1864694
2019-08-22,2.0,2.02,1.85,1.87,1239594
2019-08-23,1.82,1.94,1.81,1.83,922818
2019-08-26,1.84,1.84,1.72,1.78,1150723
2019-08-27,1.79,1.8,1.62,1.68,1530200
2019-08-28,1.65,1.74,1.54,1.71,1888600
2019-08-29,1.79,1.91,1.79,1.81,2553026
2019-08-30,1.82,1.89,1.76,1.87,974295
2019-09-03,1.87,1.87,1.78,1.8,1128443
2019-09-04,1.81,2.03,1.81,1.99,2041330
2019-09-05,2.02,2.05,1.92,2.04,1032463
2019-09-06,2.03,2.21,2.01,2.15,1677477
2019-09-09,2.22,2.32,2.0,2.12,2315275
2019-09-10,2.09,2.18,2.06,2.16,913509
2019-09-11,2.15,2.23,2.08,2.19,744312
2019-09-12,2.2,2.23,2.14,2.15,532193
2019-09-13,2.16,2.17,2.09,2.14,548066
