date,open,high,low,close,volume
2019-08-16,2.89,2.92,2.81,2.86,79983
2019-08-19,2.85,2.93,2.84,2.89,51590
2019-08-20,2.87,2.94,2.85,2.87,47787
2019-08-21,2.89,2.96,2.86,2.9,38536
2019-08-22,2.92,2.95,2.88,2.88,41706
2019-08-23,2.87,2.88,2.7,2.71,156775
2019-08-26,2.73,2.73,2.67,2.69,109086
2019-08-27,2.72,2.72,2.58,2.59,84665
2019-08-28,2.56,2.64,2.56,2.63,87243
2019-08-29,2.65,2.68,2.6,2.6,80374
2019-08-30,2.61,2.7,2.57,2.61,104844
2019-09-03,2.57,2.62,2.57,2.58,206770
2019-09-04,2.6,2.68,2.6,2.62,75898
2019-09-05,2.64,2.67,2.58,2.61,72000
2019-09-06,2.63,2.64,2.6,2.61,71901
2019-09-09,2.64,2.71,2.58,2.59,145365
2019-09-10,2.6,2.67,2.59,2.59,163743
2019-09-11,2.61,2.95,2.59,2.91,267739
2019-09-12,2.95,2.99,2.85,2.95,135718
2019-09-13,2.99,3.02,2.93,3.01,157362
