date,open,high,low,close,volume
2019-08-16,9.76,9.8,9.76,9.8,202121
2019-08-19,0.0,0.0,0.0,9.8,44
2019-08-20,9.79,9.83,9.79,9.82,428525
2019-08-21,9.83,9.83,9.83,9.83,505
2019-08-22,9.85,9.85,9.85,9.85,157
2019-08-23,9.85,9.85,9.84,9.85,1788
2019-08-26,9.85,9.9,9.85,9.88,203209
2019-08-27,9.83,9.88,9.83,9.88,4684
2019-08-28,9.88,9.88,9.88,9.88,55026
2019-08-29,0.0,0.0,0.0,9.88,42
2019-08-30,9.88,9.88,9.88,9.88,23812
2019-09-03,9.87,9.87,9.87,9.87,108630
2019-09-04,0.0,0.0,0.0,9.87,37
2019-09-05,0.0,0.0,0.0,9.87,34
2019-09-06,0.0,0.0,0.0,9.87,54
2019-09-09,9.86,9.86,9.85,9.85,24037
2019-09-10,9.83,9.9,9.83,9.9,909317
2019-09-11,9.9,9.9,9.9,9.9,134
2019-09-12,0.0,0.0,0.0,9.9,70
2019-09-13,9.9,9.9,9.9,9.9,417
