date,open,high,low,close,volume
2019-08-16,27.75,27.92,27.71,27.92,5770
2019-08-19,28.17,28.19,28.13,28.15,35736
2019-08-20,28.09,28.1,27.98,27.98,8469
2019-08-21,28.24,28.28,28.19,28.24,11227
2019-08-22,28.28,28.28,28.09,28.23,15970
2019-08-23,28.02,28.16,27.6,27.6,5291
2019-08-26,27.74,27.83,27.7,27.8,48788
2019-08-27,28.0,28.05,27.78,27.8,30991
2019-08-28,27.67,27.93,27.67,27.9,3900
2019-08-29,28.3,28.35,28.2,28.3,9812
2019-08-30,28.43,28.43,28.27,28.37,7926
2019-09-03,28.16,28.26,28.11,28.19,3159
2019-09-04,28.46,28.58,28.46,28.58,11475
2019-09-05,28.91,29.0,28.91,28.94,14081
2019-09-06,29.14,29.14,29.03,29.03,4354
2019-09-09,29.09,29.09,29.02,29.07,4017
2019-09-10,28.98,29.09,28.98,29.09,2488
2019-09-11,29.18,29.33,29.14,29.33,11848
2019-09-12,29.36,29.53,29.36,29.44,8464
2019-09-13,29.59,29.59,29.5,29.5,2226
