date,open,high,low,close,volume
2019-08-16,70.68,71.32,70.68,71.24,2233307
2019-08-19,71.96,72.05,71.77,71.84,1769194
2019-08-20,71.78,71.91,71.46,71.46,1590988
2019-08-21,72.12,72.22,71.93,72.05,1109873
2019-08-22,72.14,72.27,71.56,71.94,1921121
2019-08-23,71.6,72.1,70.25,70.44,3961983
2019-08-26,71.06,71.14,70.68,71.09,2992173
2019-08-27,71.44,71.57,70.8,70.9,2974096
2019-08-28,70.73,71.28,70.58,71.19,10657143
2019-08-29,71.88,72.13,71.62,71.99,3962800
2019-08-30,72.47,72.47,71.87,72.13,3108465
2019-09-03,71.65,71.86,71.44,71.74,2548810
2019-09-04,72.47,72.7,72.33,72.7,1090678
2019-09-05,73.33,73.7,73.33,73.49,1436333
2019-09-06,73.66,73.75,73.51,73.59,1332672
2019-09-09,73.86,73.86,73.48,73.68,3275500
2019-09-10,73.5,73.72,73.27,73.69,2504889
2019-09-11,73.85,74.26,73.76,74.26,1433482
2019-09-12,74.46,74.76,74.24,74.58,1732376
2019-09-13,74.81,74.92,74.59,74.66,2169835
