date,open,high,low,close,volume
2019-08-16,1.45,1.78,1.44,1.63,322424
2019-08-19,1.68,1.8,1.65,1.75,186296
2019-08-20,1.75,1.81,1.62,1.62,159294
2019-08-21,1.62,1.66,1.55,1.58,549674
2019-08-22,1.6,1.69,1.44,1.44,279036
2019-08-23,1.44,1.55,1.4,1.43,290889
2019-08-26,1.47,1.6,1.41,1.43,177172
2019-08-27,1.48,1.58,1.37,1.53,446225
2019-08-28,1.54,1.67,1.52,1.6,178979
2019-08-29,1.62,1.65,1.54,1.6,115060
2019-08-30,1.61,1.68,1.53,1.61,270906
2019-09-03,1.6,1.64,1.51,1.56,298735
2019-09-04,1.59,1.66,1.55,1.65,395428
2019-09-05,1.68,1.8,1.62,1.66,214112
2019-09-06,1.65,1.68,1.54,1.57,401959
2019-09-09,1.56,1.76,1.56,1.7,179717
2019-09-10,1.71,2.14,1.71,2.11,626539
2019-09-11,2.19,2.25,1.91,1.94,397600
2019-09-12,1.92,1.95,1.82,1.93,152223
2019-09-13,1.92,1.97,1.81,1.84,151230
