date,open,high,low,close,volume
2019-08-16,71.82,72.48,71.74,72.27,182423
2019-08-19,72.53,73.14,71.94,73.05,296285
2019-08-20,73.2,73.2,71.78,72.04,208840
2019-08-21,72.31,72.62,71.63,72.02,160270
2019-08-22,72.02,72.68,71.78,71.93,227772
2019-08-23,71.74,72.93,71.63,72.4,395619
2019-08-26,72.96,73.36,72.75,73.3,249112
2019-08-27,73.67,74.15,73.47,73.54,320338
2019-08-28,73.53,74.14,73.3,73.73,214040
2019-08-29,74.0,74.55,73.64,74.4,166636
2019-08-30,74.35,74.88,74.22,74.69,202951
2019-09-03,74.69,75.44,74.61,74.82,344670
2019-09-04,75.08,76.04,74.93,76.0,205738
2019-09-05,75.7,76.23,74.24,74.24,606601
2019-09-06,74.58,75.04,74.28,74.52,201288
2019-09-09,74.34,74.43,73.12,73.15,191070
2019-09-10,72.72,73.02,71.33,71.35,378083
2019-09-11,71.39,72.06,70.95,71.92,319908
2019-09-12,72.53,72.85,71.86,72.0,300157
2019-09-13,71.93,72.64,70.62,71.3,214511
