date,open,high,low,close,volume
2019-08-16,1.46,1.64,1.46,1.59,20406
2019-08-19,1.62,1.69,1.62,1.68,9955
2019-08-20,1.72,1.73,1.62,1.68,29280
2019-08-21,1.6,1.68,1.6,1.68,2612
2019-08-22,1.68,1.68,1.55,1.67,4801
2019-08-23,1.62,1.64,1.5,1.58,47249
2019-08-26,1.51,1.71,1.44,1.71,44998
2019-08-27,1.7,1.7,1.51,1.56,6930
2019-08-28,1.52,1.65,1.5,1.55,16777
2019-08-29,1.64,1.64,1.49,1.52,9083
2019-08-30,1.55,1.65,1.53,1.65,17825
2019-09-03,1.7,1.7,1.58,1.66,16830
2019-09-04,1.69,1.69,1.59,1.68,6568
2019-09-05,1.69,1.9,1.52,1.56,83653
2019-09-06,1.6,1.64,1.52,1.61,35691
2019-09-09,1.62,1.62,1.53,1.53,15799
2019-09-10,1.54,1.63,1.52,1.57,31978
2019-09-11,1.72,1.93,1.6,1.66,335438
2019-09-12,1.71,1.72,1.56,1.61,71386
2019-09-13,1.6,1.75,1.57,1.61,88244
