date,open,high,low,close,volume
2019-08-16,1.04,1.11,1.03,1.08,414054
2019-08-19,1.08,1.12,1.04,1.08,719202
2019-08-20,1.09,1.09,1.05,1.07,457134
2019-08-21,1.08,1.11,1.06,1.08,676625
2019-08-22,1.06,1.08,1.05,1.06,386563
2019-08-23,1.05,1.06,0.96,0.963,741983
2019-08-26,0.98,0.9987,0.96,0.9729,368733
2019-08-27,0.99,1.03,0.9844,1.0,344254
2019-08-28,1.02,1.04,0.96,0.9626,373391
2019-08-29,0.97,0.9999,0.9,0.93,723160
2019-08-30,0.93,0.949,0.9,0.939,401728
2019-09-03,0.927,0.927,0.81,0.84,1043057
2019-09-04,0.825,0.825,0.77,0.8041,1113375
2019-09-05,0.81,0.8101,0.7,0.729,2537803
2019-09-06,0.73,0.789,0.72,0.76,1118595
2019-09-09,0.75,0.79,0.7405,0.7405,435927
2019-09-10,0.741,0.7981,0.7406,0.7845,901173
2019-09-11,0.82,0.93,0.8101,0.9,3263980
2019-09-12,0.9,0.9089,0.83,0.851,929218
2019-09-13,0.86,0.87,0.84,0.85,446723
