date,open,high,low,close,volume
2019-08-16,6.34,6.72,6.25,6.42,302908
2019-08-19,6.5,6.66,6.15,6.2,203176
2019-08-20,6.23,6.37,6.1,6.18,132100
2019-08-21,6.23,6.38,6.11,6.14,162398
2019-08-22,6.21,6.42,6.02,6.13,180292
2019-08-23,6.15,6.38,6.02,6.06,232211
2019-08-26,6.13,6.22,5.95,6.03,210574
2019-08-27,6.08,6.11,5.8,5.92,215499
2019-08-28,5.92,6.08,5.85,5.96,138486
2019-08-29,6.01,6.36,5.99,6.3,214768
2019-08-30,6.31,6.65,6.25,6.31,1846923
2019-09-03,6.24,6.54,5.98,6.0,603522
2019-09-04,6.03,6.12,5.8,5.95,251941
2019-09-05,6.04,6.14,5.87,5.97,203001
2019-09-06,5.97,6.09,5.83,5.85,284355
2019-09-09,5.82,5.93,5.51,5.58,325782
2019-09-10,5.57,5.76,5.43,5.72,210721
2019-09-11,5.74,6.15,5.74,6.08,274409
2019-09-12,6.08,6.28,5.84,6.24,430457
2019-09-13,6.3,6.48,6.0,6.33,1285071
