date,open,high,low,close,volume
2019-08-16,21.74,22.86,21.74,22.7,1534856
2019-08-19,23.14,23.28,22.44,22.79,703885
2019-08-20,22.79,22.79,22.04,22.43,896802
2019-08-21,23.01,23.7,22.77,23.04,813169
2019-08-22,23.26,23.42,22.75,22.77,689914
2019-08-23,22.2,22.7,20.64,20.92,1487130
2019-08-26,21.35,21.58,20.72,20.83,1032339
2019-08-27,21.37,21.37,19.7,19.73,1467663
2019-08-28,19.64,20.36,19.41,19.94,1391695
2019-08-29,20.34,20.88,19.7,19.99,1071550
2019-08-30,20.05,20.74,19.96,20.17,540281
2019-09-03,19.95,20.09,18.69,18.91,1664352
2019-09-04,19.41,21.1,19.29,21.05,1052252
2019-09-05,21.74,24.75,21.38,24.38,3114816
2019-09-06,24.31,24.46,23.56,23.92,1989177
2019-09-09,24.51,25.93,23.96,25.3,2394820
2019-09-10,25.17,25.83,24.38,25.65,2029780
2019-09-11,25.94,26.21,24.92,25.9,1455216
2019-09-12,25.0,26.15,24.25,25.33,1272103
2019-09-13,24.91,26.4,24.91,25.07,1285330
