date,open,high,low,close,volume
2019-08-16,47.58,48.06,45.53,46.1,607793
2019-08-19,46.25,46.99,44.49,46.08,292087
2019-08-20,45.91,46.55,44.8,45.04,216591
2019-08-21,45.19,47.46,44.33,46.93,227647
2019-08-22,46.84,48.0,45.51,45.72,192421
2019-08-23,45.31,47.66,42.61,43.11,248743
2019-08-26,43.75,44.89,42.51,44.19,168570
2019-08-27,44.5,45.26,41.88,44.49,285269
2019-08-28,44.27,47.78,43.13,47.42,247011
2019-08-29,47.55,50.56,46.89,50.11,406518
2019-08-30,50.65,52.42,49.57,50.85,333060
2019-09-03,50.98,51.86,46.39,51.33,443920
2019-09-04,51.05,54.23,51.05,53.51,377099
2019-09-05,53.7,55.12,43.6,44.6,1081025
2019-09-06,45.27,46.21,43.53,43.83,266542
2019-09-09,44.02,44.79,39.0,39.48,480193
2019-09-10,39.95,41.42,38.21,41.27,423370
2019-09-11,40.87,43.5,39.74,41.76,477607
2019-09-12,42.1,42.64,39.0,39.76,385036
2019-09-13,39.84,44.01,38.75,43.2,722931
