date,open,high,low,close,volume
2019-08-16,37.53,37.89,37.53,37.8,6986
2019-08-19,38.21,38.39,38.05,38.19,8203
2019-08-20,38.08,38.33,38.08,38.1,3024
2019-08-21,38.3,38.42,38.3,38.42,1551
2019-08-22,38.22,38.23,37.68,37.7,2052
2019-08-23,37.47,37.47,37.47,37.47,351
2019-08-26,37.23,37.23,36.86,36.88,1984
2019-08-27,37.25,37.27,37.07,37.11,4623
2019-08-28,37.1,37.31,36.92,37.31,2429
2019-08-29,37.64,37.96,37.64,37.91,4597
2019-08-30,38.24,38.24,38.1,38.16,882
2019-09-03,37.75,37.75,37.52,37.57,2994
2019-09-04,38.3,38.4,38.3,38.4,989
2019-09-05,38.78,39.0,38.78,38.86,1830
2019-09-06,38.98,39.0,38.93,38.94,2392
2019-09-09,39.11,39.11,39.0,39.06,6334
2019-09-10,39.06,39.07,38.88,38.95,1262
2019-09-11,39.29,39.4,39.25,39.25,1690
2019-09-12,39.65,39.73,39.41,39.52,8960
2019-09-13,39.72,39.84,39.71,39.72,3852
