date,open,high,low,close,volume
2019-08-16,1.35,1.41,1.35,1.38,280322
2019-08-19,1.39,1.42,1.35,1.37,151266
2019-08-20,1.38,1.41,1.31,1.36,138727
2019-08-21,1.38,1.41,1.34,1.35,105676
2019-08-22,1.34,1.37,1.32,1.34,95567
2019-08-23,1.33,1.35,1.25,1.26,235349
2019-08-26,1.28,1.3,1.21,1.3,293190
2019-08-27,1.3,1.32,1.2,1.22,305451
2019-08-28,1.22,1.29,1.21,1.26,381093
2019-08-29,1.26,1.29,1.26,1.27,145318
2019-08-30,1.28,1.28,1.22,1.23,187476
2019-09-03,1.24,1.24,1.16,1.17,469962
2019-09-04,1.15,1.21,1.15,1.2,285294
2019-09-05,1.22,1.27,1.21,1.24,250172
2019-09-06,1.25,1.27,1.2,1.23,168220
2019-09-09,1.22,1.27,1.2,1.24,211691
2019-09-10,1.24,1.38,1.23,1.35,745503
2019-09-11,1.37,1.39,1.32,1.35,444098
2019-09-12,1.36,1.37,1.3,1.34,332417
2019-09-13,1.34,1.36,1.28,1.29,305594
