date,open,high,low,close,volume
2019-08-16,144.71,145.32,143.53,144.13,1975861
2019-08-19,146.75,146.8,145.46,146.18,1900535
2019-08-20,145.72,147.42,144.53,146.56,1078330
2019-08-21,147.75,148.09,145.01,145.95,1967134
2019-08-22,145.9,146.43,143.17,145.21,2616001
2019-08-23,144.4,147.11,143.24,143.99,2553005
2019-08-26,145.82,147.86,145.66,147.8,2028890
2019-08-27,149.45,151.4,148.69,150.21,4271649
2019-08-28,131.43,141.36,129.7,140.08,18500917
2019-08-29,142.02,142.98,140.16,142.63,3284728
2019-08-30,143.79,144.13,141.11,142.82,2991358
2019-09-03,141.0,143.0,139.87,141.15,2335612
2019-09-04,142.56,145.59,141.86,144.34,1879887
2019-09-05,146.28,149.11,145.62,148.22,2956979
2019-09-06,148.83,152.71,148.1,150.35,2092907
2019-09-09,151.02,151.65,147.57,151.02,2900845
2019-09-10,149.98,151.37,146.06,148.05,2077244
2019-09-11,149.27,154.91,147.55,154.67,3307188
2019-09-12,155.67,159.88,155.05,155.69,3478961
2019-09-13,155.53,156.14,152.87,153.48,1994213
