date,open,high,low,close,volume
2019-08-16,32.49,32.5,32.47,32.5,251529
2019-08-19,32.5,32.5,32.43,32.45,271125
2019-08-20,32.46,32.49,32.44,32.47,790208
2019-08-21,32.47,32.5,32.45,32.5,441941
2019-08-22,32.5,32.8,32.45,32.48,817758
2019-08-23,32.46,32.47,32.45,32.46,961635
2019-08-26,32.48,32.52,32.46,32.49,887144
2019-08-27,32.5,32.52,32.46,32.49,775468
2019-08-28,32.5,32.5,32.47,32.49,311609
2019-08-29,32.5,32.57,32.47,32.5,600571
2019-08-30,32.5,32.51,32.37,32.42,1033196
2019-09-03,32.42,32.58,32.42,32.51,1019699
2019-09-04,32.5,32.55,32.48,32.53,958347
2019-09-05,32.55,32.55,32.49,32.51,991188
2019-09-06,32.52,32.54,32.5,32.5,1125807
2019-09-09,32.53,32.53,32.47,32.5,366460
2019-09-10,32.5,32.54,32.46,32.51,440623
2019-09-11,32.52,32.55,32.5,32.51,670080
2019-09-12,32.53,32.54,32.51,32.53,464226
2019-09-13,32.53,32.55,32.51,32.54,1502525
