date,open,high,low,close,volume
2019-08-16,4.4,4.55,4.34,4.53,1636899
2019-08-19,4.65,4.79,4.56,4.79,2704088
2019-08-20,4.75,4.79,4.65,4.68,2013486
2019-08-21,4.72,4.76,4.63,4.68,2046875
2019-08-22,4.65,4.84,4.65,4.77,2692589
2019-08-23,4.72,4.79,4.57,4.6,1044167
2019-08-26,4.65,4.67,4.61,4.65,774978
2019-08-27,4.69,4.71,4.56,4.57,1356328
2019-08-28,4.57,4.74,4.55,4.72,1004303
2019-08-29,4.75,4.92,4.69,4.7,1028710
2019-08-30,4.74,4.89,4.72,4.76,963841
2019-09-03,4.7,4.78,4.57,4.77,1276368
2019-09-04,4.79,4.94,4.76,4.94,1257009
2019-09-05,5.09,5.31,5.07,5.31,1962210
2019-09-06,5.33,5.38,5.28,5.34,1352426
2019-09-09,5.43,5.71,5.35,5.69,2644677
2019-09-10,5.66,6.05,5.58,6.05,2562466
2019-09-11,6.05,6.11,5.84,5.96,2656408
2019-09-12,5.89,6.0,5.7,5.97,1638495
2019-09-13,6.0,6.01,5.84,5.94,1536280
