date,close,volume
2019-01-02,310.12,11658648
2019-01-03,300.36,6965184
2019-01-04,317.69,7394116
2019-01-07,334.96,7551225
2019-01-08,335.35,7008516
2019-01-09,338.53,5432945
2019-01-10,344.97,6056354
2019-01-11,347.26,5039052
2019-01-14,334.4,5247284
2019-01-15,344.43,6056590
2019-01-16,346.05,4691739
2019-01-17,347.31,3676733
2019-01-18,302.26,24150763
2019-01-22,298.92,12066741
2019-01-23,287.59,12529993
2019-01-24,291.51,8012155
2019-01-25,297.04,7258078
2019-01-28,296.38,6423279
2019-01-29,297.46,4621692
2019-01-30,308.77,11250318
2019-01-31,307.02,12569245
2019-02-01,312.21,7283441
2019-02-04,312.89,7352082
2019-02-05,321.35,6742765
2019-02-06,317.22,5038546
2019-02-07,307.51,6520611
2019-02-08,305.8,5844212
2019-02-11,312.84,7129713
2019-02-12,311.81,5517570
2019-02-13,308.17,5141617
2019-02-14,303.77,5200832
2019-02-15,307.88,3904947
2019-02-19,305.64,4168443
2019-02-20,302.56,7142117
2019-02-21,291.23,8909182
2019-02-22,294.71,5740558
2019-02-25,298.77,6626522
2019-02-26,297.86,8582535
2019-02-27,314.74,11183908
2019-02-28,319.88,10520653
2019-03-01,294.79,22911375
2019-03-04,285.36,17096818
2019-03-05,276.54,18764740
2019-03-06,276.24,10335485
2019-03-07,276.59,9442483
2019-03-08,284.14,8819625
2019-03-11,290.92,7392278
2019-03-12,283.36,7504137
2019-03-13,288.96,6844719
2019-03-14,289.96,7103447
2019-03-15,275.43,14785531
2019-03-18,269.49,10280980
2019-03-19,267.47,11800630
2019-03-20,273.6,6908224
2019-03-21,274.02,5947098
2019-03-22,264.53,8745609
2019-03-25,260.42,10215029
2019-03-26,267.77,7350948
2019-03-27,274.83,8779166
2019-03-28,278.62,6774093
2019-03-29,279.86,5991338
2019-04-01,289.18,8110439
2019-04-02,285.88,5478940
2019-04-03,291.81,7929864
2019-04-04,267.78,23720729
2019-04-05,274.96,13038257
2019-04-08,273.2,10410436
2019-04-09,272.31,5904031
2019-04-10,276.06,7061314
2019-04-11,268.42,9835927
2019-04-12,267.7,6745974
2019-04-15,266.38,10038579
2019-04-16,273.36,7272930
2019-04-17,271.23,5126468
2019-04-18,273.26,5876325
2019-04-22,262.75,12147141
2019-04-23,263.9,10943859
2019-04-24,258.66,10727454
2019-04-25,247.63,21849393
2019-04-26,235.14,22360709
2019-04-29,241.47,16714476
2019-04-30,238.69,9464628
2019-05-01,234.01,10704354
2019-05-02,244.1,18159339
2019-05-03,255.03,23706771
2019-05-06,255.34,10833943
2019-05-07,247.06,10131408
2019-05-08,244.84,6176440
2019-05-09,241.98,6711382
2019-05-10,239.52,7008336
2019-05-13,227.01,10834796
2019-05-14,232.31,7252412
2019-05-15,231.95,7295976
2019-05-16,228.33,7483273
2019-05-17,211.03,17786666
2019-05-20,205.36,20526195
2019-05-21,205.08,18003899
2019-05-22,192.73,18685187
2019-05-23,195.49,26547142
2019-05-24,190.63,14136572
2019-05-28,188.7,10312901
2019-05-29,189.86,11968638
2019-05-30,188.22,7926475
2019-05-31,185.16,10406732
