date,open,high,low,close,volume
2019-08-16,48.52,48.94,48.44,48.84,16376
2019-08-19,49.17,49.17,48.64,48.81,5055
2019-08-20,48.74,49.28,48.74,49.14,5219
2019-08-21,49.43,49.81,49.41,49.62,7118
2019-08-22,49.62,49.62,49.21,49.35,5407
2019-08-23,49.35,49.7,48.67,48.67,5828
2019-08-26,48.75,48.86,48.64,48.79,12559
2019-08-27,48.81,48.93,48.76,48.88,2004
2019-08-28,48.79,48.97,48.67,48.97,4964
2019-08-29,49.13,49.31,49.03,49.27,4255
2019-08-30,49.57,49.57,49.29,49.5,5765
2019-09-03,49.2,49.42,48.99,49.06,3367
2019-09-04,49.53,49.67,49.39,49.67,23971
2019-09-05,50.14,50.14,49.83,49.96,8535
2019-09-06,50.24,50.4,49.73,49.86,22675
2019-09-09,49.97,49.97,49.1,49.17,3242
2019-09-10,48.35,48.78,48.35,48.65,3796
2019-09-11,48.82,49.13,48.82,49.05,3664
2019-09-12,49.59,49.78,49.41,49.41,4406
2019-09-13,49.68,49.68,48.95,48.95,1445
