date,open,high,low,close,volume
2019-08-16,63.51,64.81,63.07,64.43,8348143
2019-08-19,65.04,66.87,64.97,66.56,9826314
2019-08-20,67.38,68.46,66.33,66.41,12043422
2019-08-21,67.34,67.92,66.6,67.54,7616572
2019-08-22,67.87,68.03,66.81,67.52,6496330
2019-08-23,67.28,67.79,65.48,65.97,8905126
2019-08-26,66.43,66.93,66.08,66.46,4841405
2019-08-27,66.67,66.98,65.49,65.67,7594454
2019-08-28,65.57,66.38,65.4,66.07,6873885
2019-08-29,66.73,67.03,65.95,66.22,6012024
2019-08-30,66.4,66.43,65.49,65.74,6415479
2019-09-03,65.78,65.8,64.93,65.4,7916689
2019-09-04,65.67,66.42,64.44,66.38,9620661
2019-09-05,66.64,67.29,66.43,67.03,5602689
2019-09-06,67.26,68.12,67.0,67.62,7502477
2019-09-09,67.96,68.0,66.31,66.7,10310875
2019-09-10,66.07,68.18,65.65,68.18,12155723
2019-09-11,68.38,69.74,68.06,69.49,8369053
2019-09-12,70.76,71.17,70.19,70.83,9560136
2019-09-13,71.15,71.51,70.48,70.51,8135569
