date,open,high,low,close,volume
2019-08-16,8.9,8.98,8.81,8.84,231409
2019-08-19,8.83,8.93,8.8,8.89,232864
2019-08-20,8.92,8.95,8.82,8.92,130824
2019-08-21,8.87,8.93,8.82,8.88,74236
2019-08-22,8.9,8.9,8.82,8.84,94161
2019-08-23,8.81,8.9,8.81,8.83,43796
2019-08-26,8.88,8.88,8.82,8.82,96045
2019-08-27,8.83,8.88,8.8,8.84,52963
2019-08-28,8.75,8.96,8.73,8.96,64740
2019-08-29,8.95,9.0,8.88,8.96,49037
2019-08-30,9.0,9.02,8.93,8.97,58207
2019-09-03,8.98,9.03,8.89,8.97,93542
2019-09-04,8.98,8.98,8.88,8.96,21888
2019-09-05,9.0,9.05,8.95,8.97,27897
2019-09-06,8.96,9.01,8.96,8.97,29662
2019-09-09,8.94,8.97,8.88,8.95,11410
2019-09-10,8.93,9.0,8.92,8.95,30291
2019-09-11,8.99,9.0,8.93,8.94,40012
2019-09-12,8.95,8.97,8.91,8.91,7496
2019-09-13,8.91,8.93,8.81,8.83,94483
