date,open,high,low,close,volume
2019-08-16,0.54,0.62,0.5314,0.615,22052
2019-08-19,0.62,0.6799,0.5722,0.64,214267
2019-08-20,0.64,0.64,0.6001,0.63,64908
2019-08-21,0.6329,0.68,0.5751,0.6548,97224
2019-08-22,0.659,0.72,0.659,0.6601,97133
2019-08-23,0.6601,0.72,0.6105,0.6509,56108
2019-08-26,0.72,0.72,0.6201,0.66,67281
2019-08-27,0.69,0.69,0.62,0.62,57041
2019-08-28,0.6211,0.65,0.5726,0.6101,26946
2019-08-29,0.5936,0.6332,0.5743,0.61,25190
2019-08-30,0.61,0.69,0.5811,0.66,49113
2019-09-03,0.67,0.67,0.6208,0.64,12690
2019-09-04,0.6208,0.67,0.6101,0.6438,36549
2019-09-05,0.6134,0.64,0.6,0.6109,38550
2019-09-06,0.6149,0.64,0.6001,0.61,19180
2019-09-09,0.63,0.64,0.581,0.605,23293
2019-09-10,0.605,0.6415,0.5,0.6025,48482
2019-09-11,0.61,0.67,0.6075,0.6102,56709
2019-09-12,0.6407,0.6407,0.6101,0.64,17771
2019-09-13,0.65,0.66,0.64,0.66,22358
