date,open,high,low,close,volume
2019-08-16,9.8,9.9,9.8,9.81,1436
2019-08-19,0.0,0.0,0.0,9.81,9
2019-08-20,9.9,9.9,9.9,9.9,1000
2019-08-21,9.84,9.84,9.84,9.84,450024
2019-08-22,0.0,0.0,0.0,9.84,1
2019-08-23,9.81,9.84,9.8,9.8,1374
2019-08-26,9.87,9.87,9.87,9.87,100
2019-08-27,0.0,0.0,0.0,9.87,0
2019-08-28,0.0,0.0,0.0,9.87,3
2019-08-29,9.84,9.85,9.84,9.84,550200
2019-08-30,0.0,0.0,0.0,9.84,0
2019-09-03,9.8,9.88,9.8,9.88,22080
2019-09-04,9.86,9.88,9.85,9.85,1075150
2019-09-05,9.87,9.87,9.85,9.85,10213
2019-09-06,9.85,9.85,9.85,9.85,132500
2019-09-09,9.87,9.87,9.85,9.85,316665
2019-09-10,9.87,9.87,9.83,9.83,201500
2019-09-11,9.83,9.83,9.83,9.83,206
2019-09-12,9.88,9.88,9.88,9.88,123
2019-09-13,9.85,9.88,9.87,9.88,10311
