date,open,high,low,close,volume
2019-08-16,5.8,6.11,5.75,5.99,11621544
2019-08-19,6.14,6.2,5.77,5.84,15968663
2019-08-20,5.87,6.01,5.78,5.93,12410052
2019-08-21,5.97,5.99,5.82,5.84,11299677
2019-08-22,5.87,5.95,5.78,5.79,8746876
2019-08-23,5.73,5.87,5.64,5.64,9228744
2019-08-26,5.7,5.85,5.53,5.8,11060570
2019-08-27,5.8,5.86,5.55,5.57,12221683
2019-08-28,5.52,5.65,5.38,5.58,10010897
2019-08-29,5.66,5.67,5.52,5.55,7066737
2019-08-30,5.6,5.62,5.47,5.5,8101665
2019-09-03,5.45,5.69,5.43,5.67,9331505
2019-09-04,5.79,5.81,5.45,5.59,10869177
2019-09-05,5.59,5.87,5.57,5.86,12568534
2019-09-06,5.9,6.23,5.8,6.08,15336687
2019-09-09,6.23,6.27,5.89,6.01,13294493
2019-09-10,6.02,6.29,5.89,6.28,13406640
2019-09-11,6.34,6.5,6.17,6.49,22733282
2019-09-12,5.87,6.04,5.76,5.89,25166860
2019-09-13,5.92,6.0,5.8,5.95,12475398
