date,open,high,low,close,volume
2019-08-16,7.08,7.14,6.97,7.09,28516
2019-08-19,7.32,7.32,7.19,7.32,22800
2019-08-20,7.38,7.43,7.34,7.41,37249
2019-08-21,7.49,7.49,7.4,7.47,18862
2019-08-22,7.39,7.48,7.33,7.48,62435
2019-08-23,7.36,7.5,7.3,7.3,64302
2019-08-26,7.3,7.3,7.17,7.18,40573
2019-08-27,7.32,7.32,7.02,7.02,45817
2019-08-28,7.09,7.29,7.09,7.29,48204
2019-08-29,7.25,7.25,7.16,7.2,49070
2019-08-30,7.35,7.42,7.3,7.36,48446
2019-09-03,7.34,7.39,7.28,7.38,30781
2019-09-04,7.48,7.51,7.4,7.49,45242
2019-09-05,7.64,7.66,7.56,7.62,38514
2019-09-06,7.87,7.95,7.79,7.88,32998
2019-09-09,8.0,8.07,7.95,8.05,28608
2019-09-10,8.13,8.19,8.07,8.17,22598
2019-09-11,8.49,8.75,8.49,8.67,222141
2019-09-12,8.7,8.83,8.7,8.83,21922
2019-09-13,8.96,8.99,8.91,8.92,23875
