date,open,high,low,close,volume
2019-08-16,64.8,64.92,63.78,63.97,434297
2019-08-19,64.37,64.68,63.93,64.0,465377
2019-08-20,63.99,64.16,63.87,64.07,361527
2019-08-21,64.28,64.75,64.28,64.4,228842
2019-08-22,64.49,64.68,63.59,63.71,245927
2019-08-23,63.61,64.0,62.71,62.85,360709
2019-08-26,63.35,63.35,62.57,62.89,289361
2019-08-27,63.14,63.15,62.72,62.79,310829
2019-08-28,62.7,63.19,62.7,62.96,305852
2019-08-29,63.31,64.3,63.31,63.92,492534
2019-08-30,64.17,64.17,62.82,63.05,430076
2019-09-03,62.91,63.56,62.81,63.31,464723
2019-09-04,63.8,63.9,63.12,63.72,370874
2019-09-05,64.14,64.73,63.85,64.55,827820
2019-09-06,64.81,64.9,64.26,64.36,535948
2019-09-09,64.35,64.52,63.59,63.73,180155
2019-09-10,63.75,64.07,63.41,63.75,195291
2019-09-11,63.88,64.4,63.72,63.8,337470
2019-09-12,63.94,64.49,63.7,64.24,381033
2019-09-13,64.28,64.5,63.9,64.29,154587
